ReservoirName,RecordTime,WaterStorageRate
湖山水庫,2019-02-09,45.15
仁義潭水庫,2019-02-09,56.81
白河水庫,2019-02-09,6.37
烏山頭水庫,2019-02-09,80.19
曾文水庫,2019-02-09,47.6
南化水庫,2019-02-09,61.49
阿公店水庫,2019-02-09,51.47
牡丹水庫,2019-02-09,61.97
石門水庫,2019-11-03,96.79
新山水庫,2019-11-03,77.1
翡翠水庫,2019-11-03,78.78
寶山第二水庫,2019-11-03,96.58
永和山水庫,2019-11-03,95.01
明德水庫,2019-11-03,75.31
鯉魚潭水庫,2019-11-03,94.67
德基水庫,2019-11-03,93.18
石岡壩,2019-11-03,67.96
霧社水庫,2019-11-03,36.14
日月潭水庫,2019-11-03,91.81
湖山水庫,2019-11-03,94.26
仁義潭水庫,2019-11-03,85.71
白河水庫,2019-11-03,17.65
烏山頭水庫,2019-11-03,88.02
曾文水庫,2019-11-03,78.1
南化水庫,2019-11-03,92.1
阿公店水庫,2019-11-03,93.28
牡丹水庫,2019-11-03,87.94
石門水庫,2019-02-21,53.98
新山水庫,2019-02-21,91.0
翡翠水庫,2019-02-21,82.44
寶山第二水庫,2019-02-21,28.43
永和山水庫,2019-02-21,34.81
明德水庫,2019-02-21,47.07
鯉魚潭水庫,2019-02-21,40.3
德基水庫,2019-02-21,48.35
石岡壩,2019-02-21,15.51
霧社水庫,2019-02-21,5.41
日月潭水庫,2019-02-21,86.76
湖山水庫,2019-02-21,39.84
仁義潭水庫,2019-02-21,51.79
白河水庫,2019-02-21,2.17
烏山頭水庫,2019-02-21,78.31
曾文水庫,2019-02-21,40.14
南化水庫,2019-02-21,56.48
阿公店水庫,2019-02-21,45.42
牡丹水庫,2019-02-21,59.84
石門水庫,2019-02-19,55.7
新山水庫,2019-02-19,90.95
翡翠水庫,2019-02-19,83.07
寶山第二水庫,2019-02-19,30.2
永和山水庫,2019-02-19,36.14
明德水庫,2019-02-19,47.53
鯉魚潭水庫,2019-02-19,41.36
德基水庫,2019-02-19,49.88
石岡壩,2019-02-19,14.74
霧社水庫,2019-02-19,6.93
日月潭水庫,2019-02-19,87.19
湖山水庫,2019-02-19,40.7
仁義潭水庫,2019-02-19,52.66
白河水庫,2019-02-19,2.89
烏山頭水庫,2019-02-19,77.98
曾文水庫,2019-02-19,41.89
南化水庫,2019-02-19,57.36
阿公店水庫,2019-02-19,46.44
牡丹水庫,2019-02-19,60.29
石門水庫,2019-11-07,96.27
新山水庫,2019-11-07,76.79
翡翠水庫,2019-11-07,79.97
寶山第二水庫,2019-11-07,94.38
永和山水庫,2019-11-07,93.53
明德水庫,2019-11-07,72.32
鯉魚潭水庫,2019-11-07,92.69
德基水庫,2019-11-07,91.15
石岡壩,2019-11-07,68.3
霧社水庫,2019-11-07,23.35
日月潭水庫,2019-11-07,96.48
湖山水庫,2019-11-07,92.48
仁義潭水庫,2019-11-07,84.3
白河水庫,2019-11-07,17.37
烏山頭水庫,2019-11-07,83.21
曾文水庫,2019-11-07,77.16
南化水庫,2019-11-07,91.09
阿公店水庫,2019-11-07,92.52
牡丹水庫,2019-11-07,87.04
石門水庫,2019-11-13,95.38
新山水庫,2019-11-13,77.46
翡翠水庫,2019-11-13,79.72
